gate,status,evidence,blocking_reason,required_action
development_partition_sealed,passed,"11 development cases; 5 independent_test cases remain partitioned",,Keep the split unchanged
development_pairing_complete,passed,"153/153 pairs; 45 IMERG accepted; 108 NOAA SSODv2 accepted; missing=0",,Preserve QC labels and keep independent heat sealed
temporal_scoring_corrected,passed,"20 target-window decisions scored; 13 pre/post-event context windows excluded",,Keep interval-overlap scoring
heavy_rain_v2_freeze,passed,"3/5 target event windows detected; 4/4 control windows low; 2/3 event cases detected; IMERG accepted",,Do not tune heavy-rain v2 after independent test opens
heatwave_v2_freeze,blocked,"1/7 event target windows detected; 4/4 control windows low; 1/4 event cases detected; SSOD accepted","Target-window recall 0.142857 and event-case detection 0.25 are below predeclared gates",Keep heatwave v2 draft and independent heat case sealed; investigate cold bias without post-hoc threshold tuning
heatwave_bias_cv_v1,blocked,"Preregistered 6-fold leave-one-case-out median correction; +2.280 C final estimate; 3/7 event target windows detected; 4/4 control windows low; 2/4 event cases detected; independent heat unopened","Target-window recall 0.428571 and event-case detection 0.5 remain below predeclared gates",Keep heatwave v2 draft and independent heat sealed; add new development evidence before another preregistered method
formal_development_heavy_rain,passed,"15 frozen Risk JSON files validated; 15 controlled reports; 69-node/98-relation bundle",,Treat as development evidence rather than independent performance
independent_heavy_rain,passed,"54/54 accepted pairs; 6 hits 0 misses 0 false alarms 12 correct negatives; 18 frozen Risk JSON files","Small selected sample limits generalization",Keep heavy-rain v2 locked and report limitations without retuning
independent_heatwave,blocked,"Heatwave rule remains draft after accepted SSOD development evaluation","Recall and event-case detection freeze prerequisites are not met",Do not open the independent heatwave case
neo4j_live_import,passed,"Neo4j Community 2026.06.0; 87/87 nodes; 152/152 relationships; 6/6 constraints; three fixed queries passed",,Preserve the verification manifest and do not describe the local development instance as production deployment
