case_id,prediction_case_id,event_id,case_role,hazard,region_id,lead_time_hours,valid_start_time,valid_end_time,risk_level,risk_score,confidence,evaluation_scope,candidate_outcome,primary_indicator,primary_value,primary_threshold,severe_threshold,primary_stage_or_duration,weather_screening_status,impact_evidence_status,rule_id,rule_status
20200711_00,20200711_00_024,CTRL-2020-07-SW-RAIN,control,heavy_rain,SA-09,24,2020-07-11T00:00:00Z,2020-07-12T00:00:00Z,low,0.0,medium,context_only,not_scored_context,daily_precip_total_spatial_p95,1.2543472,5.0,17.482495,below_medium,imerg_screened_lower_intensity,unknown,heavy_rain_graphcast_scale_v2,frozen
20200711_00,20200711_00_048,CTRL-2020-07-SW-RAIN,control,heavy_rain,SA-09,48,2020-07-12T00:00:00Z,2020-07-13T00:00:00Z,low,0.0,medium,target_window,candidate_correct_negative,daily_precip_total_spatial_p95,0.76622164,5.0,17.482495,below_medium,imerg_screened_lower_intensity,unknown,heavy_rain_graphcast_scale_v2,frozen
20200711_00,20200711_00_072,CTRL-2020-07-SW-RAIN,control,heavy_rain,SA-09,72,2020-07-13T00:00:00Z,2020-07-14T00:00:00Z,low,0.0,medium,target_window,candidate_correct_negative,daily_precip_total_spatial_p95,0.49869089,5.0,17.482495,below_medium,imerg_screened_lower_intensity,unknown,heavy_rain_graphcast_scale_v2,frozen
20200711_00,20200711_00_024,CTRL-2020-07-SW-RAIN,control,heavy_rain,SA-14,24,2020-07-11T00:00:00Z,2020-07-12T00:00:00Z,low,0.0,medium,context_only,not_scored_context,daily_precip_total_spatial_p95,0.57453807,5.0,10.7625,below_medium,imerg_screened_lower_intensity,unknown,heavy_rain_graphcast_scale_v2,frozen
20200711_00,20200711_00_048,CTRL-2020-07-SW-RAIN,control,heavy_rain,SA-14,48,2020-07-12T00:00:00Z,2020-07-13T00:00:00Z,low,0.0,medium,target_window,candidate_correct_negative,daily_precip_total_spatial_p95,0.73004289,5.0,10.7625,below_medium,imerg_screened_lower_intensity,unknown,heavy_rain_graphcast_scale_v2,frozen
20200711_00,20200711_00_072,CTRL-2020-07-SW-RAIN,control,heavy_rain,SA-14,72,2020-07-13T00:00:00Z,2020-07-14T00:00:00Z,low,0.0,medium,target_window,candidate_correct_negative,daily_precip_total_spatial_p95,0.52771028,5.0,10.7625,below_medium,imerg_screened_lower_intensity,unknown,heavy_rain_graphcast_scale_v2,frozen
20200725_00,20200725_00_024,EVT-2020-07-SW-FLOOD,event,heavy_rain,SA-09,24,2020-07-25T00:00:00Z,2020-07-26T00:00:00Z,low,0.0,medium,context_only,not_scored_context,daily_precip_total_spatial_p95,2.871065,5.0,17.482495,below_medium,weather_confirmed,impact_confirmed,heavy_rain_graphcast_scale_v2,frozen
20200725_00,20200725_00_048,EVT-2020-07-SW-FLOOD,event,heavy_rain,SA-09,48,2020-07-26T00:00:00Z,2020-07-27T00:00:00Z,medium,5.0,medium,target_window,candidate_hit,daily_precip_total_spatial_p95,14.211132,5.0,17.482495,medium,weather_confirmed,impact_confirmed,heavy_rain_graphcast_scale_v2,frozen
20200725_00,20200725_00_072,EVT-2020-07-SW-FLOOD,event,heavy_rain,SA-09,72,2020-07-27T00:00:00Z,2020-07-28T00:00:00Z,high,8.0,medium,target_window,candidate_hit,daily_precip_total_spatial_p95,31.197607,5.0,17.482495,high,weather_confirmed,impact_confirmed,heavy_rain_graphcast_scale_v2,frozen
20200725_00,20200725_00_024,EVT-2020-07-SW-FLOOD,event,heavy_rain,SA-14,24,2020-07-25T00:00:00Z,2020-07-26T00:00:00Z,low,0.0,medium,context_only,not_scored_context,daily_precip_total_spatial_p95,1.3933915,5.0,10.7625,below_medium,weather_confirmed,impact_confirmed,heavy_rain_graphcast_scale_v2,frozen
