case_id,prediction_case_id,event_id,case_role,hazard,region_id,lead_time_hours,valid_start_time,valid_end_time,risk_level,risk_score,confidence,evaluation_scope,candidate_outcome,primary_indicator,primary_value,primary_threshold,severe_threshold,primary_stage_or_duration,weather_screening_status,impact_evidence_status,rule_id,rule_status
20200501_00,20200501_00_024,EVT-2020-05-JAZAN-FLOOD-EARLY,event,heavy_rain,SA-09,24,2020-05-01T00:00:00Z,2020-05-02T00:00:00Z,low,0.0,medium,target_window,candidate_miss,daily_precip_total_spatial_p95,1.51291,5.0,10.0,below_medium,weather_confirmed,impact_confirmed,heavy_rain_graphcast_scale_v2,frozen
20200501_00,20200501_00_048,EVT-2020-05-JAZAN-FLOOD-EARLY,event,heavy_rain,SA-09,48,2020-05-02T00:00:00Z,2020-05-03T00:00:00Z,low,0.0,medium,target_window,candidate_miss,daily_precip_total_spatial_p95,2.8983252,5.0,10.0,below_medium,weather_confirmed,impact_confirmed,heavy_rain_graphcast_scale_v2,frozen
20200501_00,20200501_00_072,EVT-2020-05-JAZAN-FLOOD-EARLY,event,heavy_rain,SA-09,72,2020-05-03T00:00:00Z,2020-05-04T00:00:00Z,low,0.0,medium,context_only,not_scored_context,daily_precip_total_spatial_p95,2.6438292,5.0,10.0,below_medium,weather_confirmed,impact_confirmed,heavy_rain_graphcast_scale_v2,frozen
20200505_00,20200505_00_024,EVT-2020-05-JAZAN-FLOOD-LATE,event,heavy_rain,SA-09,24,2020-05-05T00:00:00Z,2020-05-06T00:00:00Z,low,0.0,medium,context_only,not_scored_context,daily_precip_total_spatial_p95,2.9664848,5.0,10.0,below_medium,weather_confirmed,impact_confirmed,heavy_rain_graphcast_scale_v2,frozen
20200505_00,20200505_00_048,EVT-2020-05-JAZAN-FLOOD-LATE,event,heavy_rain,SA-09,48,2020-05-06T00:00:00Z,2020-05-07T00:00:00Z,high,7.0,medium,target_window,candidate_hit,daily_precip_total_spatial_p95,12.604136,5.0,10.0,high,weather_confirmed,impact_confirmed,heavy_rain_graphcast_scale_v2,frozen
20200505_00,20200505_00_072,EVT-2020-05-JAZAN-FLOOD-LATE,event,heavy_rain,SA-09,72,2020-05-07T00:00:00Z,2020-05-08T00:00:00Z,medium,5.0,medium,context_only,not_scored_context,daily_precip_total_spatial_p95,6.9301516,5.0,10.0,medium,weather_confirmed,impact_confirmed,heavy_rain_graphcast_scale_v2,frozen
20200515_00,20200515_00_024,CTRL-2020-05-JAZAN-RAIN,control,heavy_rain,SA-09,24,2020-05-15T00:00:00Z,2020-05-16T00:00:00Z,low,0.0,medium,context_only,not_scored_context,daily_precip_total_spatial_p95,2.1433459,5.0,10.0,below_medium,imerg_screened_lower_intensity,unknown,heavy_rain_graphcast_scale_v2,frozen
20200515_00,20200515_00_048,CTRL-2020-05-JAZAN-RAIN,control,heavy_rain,SA-09,48,2020-05-16T00:00:00Z,2020-05-17T00:00:00Z,low,0.0,medium,target_window,candidate_correct_negative,daily_precip_total_spatial_p95,2.2452143,5.0,10.0,below_medium,imerg_screened_lower_intensity,unknown,heavy_rain_graphcast_scale_v2,frozen
20200515_00,20200515_00_072,CTRL-2020-05-JAZAN-RAIN,control,heavy_rain,SA-09,72,2020-05-17T00:00:00Z,2020-05-18T00:00:00Z,low,0.0,medium,target_window,candidate_correct_negative,daily_precip_total_spatial_p95,0.76575482,5.0,10.0,below_medium,imerg_screened_lower_intensity,unknown,heavy_rain_graphcast_scale_v2,frozen
20200619_00,20200619_00_024,CTRL-2020-06-EAST-HEAT,control,heatwave,SA-04,24,2020-06-19T00:00:00Z,2020-06-20T00:00:00Z,low,0.0,medium,context_only,not_scored_context,tmax_c_spatial_p95,43.867627,47.249969,49.078418,0,ssod_utc_screened_lower_intensity,unknown,heatwave_candidate_graphcast_scale_v2,draft
20200619_00,20200619_00_048,CTRL-2020-06-EAST-HEAT,control,heatwave,SA-04,48,2020-06-20T00:00:00Z,2020-06-21T00:00:00Z,low,0.0,medium,target_window,candidate_correct_negative,tmax_c_spatial_p95,44.084943,47.249969,49.078418,0,ssod_utc_screened_lower_intensity,unknown,heatwave_candidate_graphcast_scale_v2,draft
20200619_00,20200619_00_072,CTRL-2020-06-EAST-HEAT,control,heatwave,SA-04,72,2020-06-21T00:00:00Z,2020-06-22T00:00:00Z,low,0.0,medium,target_window,candidate_correct_negative,tmax_c_spatial_p95,44.450366,47.249969,49.078418,0,ssod_utc_screened_lower_intensity,unknown,heatwave_candidate_graphcast_scale_v2,draft
20200706_00,20200706_00_024,EVT-2020-07-EAST-HEAT-EARLY,event,heatwave,SA-04,24,2020-07-06T00:00:00Z,2020-07-07T00:00:00Z,low,4.0,medium,context_only,not_scored_context,tmax_c_spatial_p95,47.378952,47.249969,49.078418,1,weather_confirmed,impact_unknown,heatwave_candidate_graphcast_scale_v2,draft
20200706_00,20200706_00_048,EVT-2020-07-EAST-HEAT-EARLY,event,heatwave,SA-04,48,2020-07-07T00:00:00Z,2020-07-08T00:00:00Z,medium,5.0,medium,target_window,candidate_hit,tmax_c_spatial_p95,47.848279,47.249969,49.078418,2,weather_confirmed,impact_unknown,heatwave_candidate_graphcast_scale_v2,draft
20200706_00,20200706_00_072,EVT-2020-07-EAST-HEAT-EARLY,event,heatwave,SA-04,72,2020-07-08T00:00:00Z,2020-07-09T00:00:00Z,medium,6.0,medium,context_only,not_scored_context,tmax_c_spatial_p95,47.985997,47.249969,49.078418,3,weather_confirmed,impact_unknown,heatwave_candidate_graphcast_scale_v2,draft
20200715_00,20200715_00_024,EVT-2020-07-EAST-HEAT-LATE,event,heatwave,SA-04,24,2020-07-15T00:00:00Z,2020-07-16T00:00:00Z,low,0.0,medium,context_only,not_scored_context,tmax_c_spatial_p95,47.150662,47.249969,49.078418,0,ssod_utc_confirmed,unknown,heatwave_candidate_graphcast_scale_v2,draft
20200715_00,20200715_00_048,EVT-2020-07-EAST-HEAT-LATE,event,heatwave,SA-04,48,2020-07-16T00:00:00Z,2020-07-17T00:00:00Z,low,0.0,medium,target_window,candidate_miss,tmax_c_spatial_p95,46.327307,47.249969,49.078418,0,ssod_utc_confirmed,unknown,heatwave_candidate_graphcast_scale_v2,draft
20200715_00,20200715_00_072,EVT-2020-07-EAST-HEAT-LATE,event,heatwave,SA-04,72,2020-07-17T00:00:00Z,2020-07-18T00:00:00Z,low,0.0,medium,target_window,candidate_miss,tmax_c_spatial_p95,45.934428,47.249969,49.078418,0,ssod_utc_confirmed,unknown,heatwave_candidate_graphcast_scale_v2,draft
20200806_00,20200806_00_024,EVT-2020-08-EAST-HEAT,event,heatwave,SA-04,24,2020-08-06T00:00:00Z,2020-08-07T00:00:00Z,low,0.0,medium,context_only,not_scored_context,tmax_c_spatial_p95,45.273853,47.249969,49.078418,0,ssod_utc_confirmed,unknown,heatwave_candidate_graphcast_scale_v2,draft
20200806_00,20200806_00_048,EVT-2020-08-EAST-HEAT,event,heatwave,SA-04,48,2020-08-07T00:00:00Z,2020-08-08T00:00:00Z,low,0.0,medium,target_window,candidate_miss,tmax_c_spatial_p95,45.082336,47.249969,49.078418,0,ssod_utc_confirmed,unknown,heatwave_candidate_graphcast_scale_v2,draft
20200806_00,20200806_00_072,EVT-2020-08-EAST-HEAT,event,heatwave,SA-04,72,2020-08-08T00:00:00Z,2020-08-09T00:00:00Z,low,0.0,medium,target_window,candidate_miss,tmax_c_spatial_p95,45.384962,47.249969,49.078418,0,ssod_utc_confirmed,unknown,heatwave_candidate_graphcast_scale_v2,draft
20200908_00,20200908_00_024,EVT-2020-09-EAST-HEAT,event,heatwave,SA-04,24,2020-09-08T00:00:00Z,2020-09-09T00:00:00Z,low,0.0,medium,context_only,not_scored_context,tmax_c_spatial_p95,44.458691,47.0,49.0,0,ssod_utc_confirmed,unknown,heatwave_candidate_graphcast_scale_v2,draft
20200908_00,20200908_00_048,EVT-2020-09-EAST-HEAT,event,heatwave,SA-04,48,2020-09-09T00:00:00Z,2020-09-10T00:00:00Z,low,0.0,medium,target_window,candidate_miss,tmax_c_spatial_p95,44.70089,47.0,49.0,0,ssod_utc_confirmed,unknown,heatwave_candidate_graphcast_scale_v2,draft
20200908_00,20200908_00_072,EVT-2020-09-EAST-HEAT,event,heatwave,SA-04,72,2020-09-10T00:00:00Z,2020-09-11T00:00:00Z,low,0.0,medium,target_window,candidate_miss,tmax_c_spatial_p95,44.312521,47.0,49.0,0,ssod_utc_confirmed,unknown,heatwave_candidate_graphcast_scale_v2,draft
20200927_00,20200927_00_024,CTRL-2020-09-EAST-HEAT,control,heatwave,SA-04,24,2020-09-27T00:00:00Z,2020-09-28T00:00:00Z,low,0.0,medium,context_only,not_scored_context,tmax_c_spatial_p95,42.87088,47.0,49.0,0,ssod_utc_screened_lower_intensity,unknown,heatwave_candidate_graphcast_scale_v2,draft
