case_id,prediction_case_id,event_id,case_role,hazard,region_id,lead_time_hours,valid_start_time,valid_end_time,risk_level,risk_score,confidence,evaluation_scope,candidate_outcome,primary_indicator,primary_value,primary_threshold,severe_threshold,primary_stage_or_duration,weather_screening_status,impact_evidence_status,rule_id,rule_status
20200501_00,20200501_00_024,EVT-2020-05-JAZAN-FLOOD-EARLY,event,heavy_rain,SA-09,24,2020-05-01T00:00:00Z,2020-05-02T00:00:00Z,low,0.0,medium,target_window,candidate_miss,daily_precip_total_spatial_p95,1.51291,10.0,20.0,below_medium,weather_confirmed,impact_confirmed,heavy_rain_candidate_region_season_p90_p95,draft
20200501_00,20200501_00_048,EVT-2020-05-JAZAN-FLOOD-EARLY,event,heavy_rain,SA-09,48,2020-05-02T00:00:00Z,2020-05-03T00:00:00Z,low,0.0,medium,target_window,candidate_miss,daily_precip_total_spatial_p95,2.8983252,10.0,20.0,below_medium,weather_confirmed,impact_confirmed,heavy_rain_candidate_region_season_p90_p95,draft
20200501_00,20200501_00_072,EVT-2020-05-JAZAN-FLOOD-EARLY,event,heavy_rain,SA-09,72,2020-05-03T00:00:00Z,2020-05-04T00:00:00Z,low,0.0,medium,context_only,not_scored_context,daily_precip_total_spatial_p95,2.6438292,10.0,20.0,below_medium,weather_confirmed,impact_confirmed,heavy_rain_candidate_region_season_p90_p95,draft
20200505_00,20200505_00_024,EVT-2020-05-JAZAN-FLOOD-LATE,event,heavy_rain,SA-09,24,2020-05-05T00:00:00Z,2020-05-06T00:00:00Z,low,0.0,medium,context_only,not_scored_context,daily_precip_total_spatial_p95,2.9664848,10.0,20.0,below_medium,weather_confirmed,impact_confirmed,heavy_rain_candidate_region_season_p90_p95,draft
20200505_00,20200505_00_048,EVT-2020-05-JAZAN-FLOOD-LATE,event,heavy_rain,SA-09,48,2020-05-06T00:00:00Z,2020-05-07T00:00:00Z,medium,5.0,medium,target_window,candidate_hit,daily_precip_total_spatial_p95,12.604136,10.0,20.0,medium,weather_confirmed,impact_confirmed,heavy_rain_candidate_region_season_p90_p95,draft
20200505_00,20200505_00_072,EVT-2020-05-JAZAN-FLOOD-LATE,event,heavy_rain,SA-09,72,2020-05-07T00:00:00Z,2020-05-08T00:00:00Z,low,0.0,medium,context_only,not_scored_context,daily_precip_total_spatial_p95,6.9301516,10.0,20.0,below_medium,weather_confirmed,impact_confirmed,heavy_rain_candidate_region_season_p90_p95,draft
20200515_00,20200515_00_024,CTRL-2020-05-JAZAN-RAIN,control,heavy_rain,SA-09,24,2020-05-15T00:00:00Z,2020-05-16T00:00:00Z,low,0.0,medium,context_only,not_scored_context,daily_precip_total_spatial_p95,2.1433459,10.0,20.0,below_medium,imerg_screened_lower_intensity,unknown,heavy_rain_candidate_region_season_p90_p95,draft
20200515_00,20200515_00_048,CTRL-2020-05-JAZAN-RAIN,control,heavy_rain,SA-09,48,2020-05-16T00:00:00Z,2020-05-17T00:00:00Z,low,0.0,medium,target_window,candidate_correct_negative,daily_precip_total_spatial_p95,2.2452143,10.0,20.0,below_medium,imerg_screened_lower_intensity,unknown,heavy_rain_candidate_region_season_p90_p95,draft
20200515_00,20200515_00_072,CTRL-2020-05-JAZAN-RAIN,control,heavy_rain,SA-09,72,2020-05-17T00:00:00Z,2020-05-18T00:00:00Z,low,0.0,medium,target_window,candidate_correct_negative,daily_precip_total_spatial_p95,0.76575482,10.0,20.0,below_medium,imerg_screened_lower_intensity,unknown,heavy_rain_candidate_region_season_p90_p95,draft
20200619_00,20200619_00_024,CTRL-2020-06-EAST-HEAT,control,heatwave,SA-04,24,2020-06-19T00:00:00Z,2020-06-20T00:00:00Z,low,0.0,medium,context_only,not_scored_context,tmax_c_spatial_p95,43.867627,49.078418,49.686014,0,ssod_utc_screened_lower_intensity,unknown,heatwave_candidate_region_season_duration,draft
